L1_SDR;;;;;;;
01/09/2025 00:00;08/09/2025 00:00;;;;;;
12061 Atacadão Bangu;;;;;;;
elielton.polityto;;;;;;;
 ;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;
 ;Temp ambiente;Comp;Degelo;Temp evap;SH;Temp succao; 
2025-09-01 06:20:00.0;-15;1;0;-33,9;19;-14,9;
2025-09-01 06:25:00.0;-15,1;1;0;-34,1;19,1;-15;
2025-09-01 06:30:00.0;-15,2;1;0;-34;18,9;-15,1;
2025-09-01 06:35:00.0;-15,3;1;0;-34;18,8;-15,2;
2025-09-01 06:40:00.0;-15,4;1;0;-33,9;18,6;-15,3;
2025-09-01 06:45:00.0;-15,4;1;0;-34,1;18,8;-15,3;
2025-09-01 06:50:00.0;-15,5;1;0;-34,1;18,8;-15,3;
2025-09-01 06:55:00.0;-15,5;1;0;-33,9;18,5;-15,4;
2025-09-01 07:00:00.0;-15,6;1;0;-34;18,5;-15,5;
2025-09-01 07:05:00.0;-15,6;1;0;-34,1;18,6;-15,5;
2025-09-01 07:10:00.0;-15,6;1;0;-34,1;18,6;-15,5;
2025-09-01 07:15:00.0;-15,6;1;0;-34;18,4;-15,6;
2025-09-01 07:20:00.0;-15,7;1;0;-34,1;18,5;-15,6;
2025-09-01 07:25:00.0;-15;1;0;-33,9;18,8;-15,1;
2025-09-01 07:30:00.0;-15,3;1;0;-34;18,9;-15,1;
2025-09-01 07:35:00.0;-15,4;1;0;-33,9;18,6;-15,3;
2025-09-01 07:40:00.0;-15,5;1;0;-33,8;18,5;-15,4;
2025-09-01 07:45:00.0;-15,5;1;0;-34;18,6;-15,4;
2025-09-01 07:50:00.0;-15,6;1;0;-34,2;18,7;-15,5;
2025-09-01 07:55:00.0;-14,2;1;0;-33,9;19,2;-14,7;
2025-09-01 08:00:00.0;-12,9;1;0;-33,9;20,9;-13;
2025-09-01 08:05:00.0;-13,5;1;0;-34,1;20,9;-13,2;
