Data;Temp ambiente;Comp;Degelo;Temp evap;SH;Temp succao; 
2025-08-25 00:00:00.0;-20,2;1;0;-32,4;12,3;-20,1;
2025-08-25 00:05:00.0;-20,2;1;0;-31,7;11,6;-20,1;
2025-08-25 00:10:00.0;-20,2;1;0;-31,7;11,6;-20,1;
2025-08-25 00:15:00.0;-20,2;1;0;-31,7;11,6;-20,1;
2025-08-25 00:20:00.0;-20,2;1;0;-31,6;11,5;-20,1;
2025-08-25 00:25:00.0;-20,2;1;0;-31,4;11,3;-20,1;
2025-08-25 00:30:00.0;-20,2;1;0;-30,9;10,7;-20,1;
2025-08-25 00:35:00.0;-20,1;1;0;-30,6;10,5;-20,1;
2025-08-25 00:40:00.0;-20,2;1;0;-30,6;10,5;-20,1;
2025-08-25 00:45:00.0;-20,2;1;0;-30,6;10,5;-20,1;
2025-08-25 00:50:00.0;-20,1;1;0;-30,6;10,5;-20,1;
2025-08-25 00:55:00.0;-20,2;1;0;-30,6;10,5;-20,1;
2025-08-25 01:00:00.0;-20,2;1;0;-30,6;10,5;-20,1;
2025-08-25 01:05:00.0;-20,2;1;0;-30,6;10,5;-20,1;
2025-08-25 01:10:00.0;-20,2;1;0;-30,6;10,5;-20,1;
2025-08-25 01:15:00.0;-20,2;1;0;-30,6;10,5;-20,1;
2025-08-25 01:20:00.0;-20,2;1;0;-30,3;10,1;-20,1;
2025-08-25 01:25:00.0;-20,2;1;0;-30,2;10,1;-20,1;
2025-08-25 01:30:00.0;-20,2;1;0;-30,2;10,1;-20,1;
2025-08-25 01:35:00.0;-20,2;1;0;-30,2;10,1;-20,1;
2025-08-25 01:40:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-25 01:45:00.0;-20,2;1;0;-30;9,9;-20,1;
2025-08-25 01:50:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-25 01:55:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-25 02:00:00.0;-20,2;1;0;-29,9;9,8;-20,1;
2025-08-25 02:05:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-25 02:10:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-25 02:15:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-25 02:20:00.0;-20,2;1;0;-29,8;9,7;-20,1;
2025-08-25 02:25:00.0;-20,2;1;0;-29,9;9,7;-20,1;
2025-08-25 02:30:00.0;-20,2;1;0;-30;9,9;-20,1;
2025-08-25 02:35:00.0;-20,2;1;0;-29,8;9,7;-20,1;
2025-08-25 02:40:00.0;-20,2;1;0;-30;9,9;-20,1;
2025-08-25 02:45:00.0;-20,2;1;0;-30;9,9;-20,1;
2025-08-25 02:50:00.0;-20,2;1;0;-29,8;9,7;-20,1;
2025-08-25 02:55:00.0;-20,2;1;0;-29,9;9,8;-20,1;
2025-08-25 03:00:00.0;-20,2;1;0;-29,9;9,8;-20,1;
2025-08-25 03:05:00.0;-20,2;1;0;-30;9,9;-20,1;
2025-08-25 03:10:00.0;-20,2;1;0;-30;10;-20,1;
2025-08-25 03:15:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-25 03:20:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-25 03:25:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-25 03:30:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-25 03:35:00.0;-20,2;1;0;-29,6;9,5;-20,1;
2025-08-25 03:40:00.0;-20,2;1;0;-29,9;9,9;-20,1;
2025-08-25 03:45:00.0;-20,2;1;0;-30;9,9;-20,1;
2025-08-25 03:50:00.0;-20,2;1;0;-30;10;-20,1;
2025-08-25 03:55:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-25 04:00:00.0;-20,1;1;0;-29,8;9,8;-20,1;
2025-08-25 04:05:00.0;-20;1;0;-29,8;9,8;-19,9;
2025-08-25 04:10:00.0;-19,7;1;0;-31,5;11,7;-19,8;
2025-08-25 04:15:00.0;-19,8;1;0;-32,6;12,8;-19,7;
2025-08-25 04:20:00.0;-19,9;1;0;-33,3;13,5;-19,8;
2025-08-25 04:25:00.0;-19,9;1;0;-33,3;13,5;-19,8;
2025-08-25 04:30:00.0;-19,9;1;0;-33,3;13,4;-19,8;
2025-08-25 04:35:00.0;-19,9;1;0;-33,3;13,4;-19,9;
2025-08-25 04:40:00.0;-19,9;1;0;-33,2;13,4;-19,9;
2025-08-25 04:45:00.0;-20;1;0;-33,4;13,5;-19,9;
2025-08-25 04:50:00.0;-19,9;1;0;-33,4;13,5;-19,9;
2025-08-25 04:55:00.0;-20;1;0;-33,6;13,6;-19,9;
2025-08-25 05:00:00.0;-20,2;1;0;-34;14;-20,1;
2025-08-25 05:05:00.0;-20,3;1;0;-30,3;10,2;-20,1;
2025-08-25 05:10:00.0;-20,2;1;0;-28,5;8,4;-20,1;
2025-08-25 05:15:00.0;-20,2;1;0;-29,5;9,3;-20,1;
2025-08-25 05:20:00.0;-20,2;1;0;-29,8;9,7;-20,1;
2025-08-25 05:25:00.0;-20,2;1;0;-30;9,9;-20,1;
2025-08-25 05:30:00.0;-20,2;1;0;-30;9,9;-20,1;
2025-08-25 05:35:00.0;-20,2;1;0;-29,5;9,4;-20,1;
2025-08-25 05:40:00.0;-20,2;1;0;-29,7;9,6;-20,1;
2025-08-25 05:45:00.0;-20,2;1;0;-29,9;9,8;-20,1;
2025-08-25 05:50:00.0;-20,2;1;0;-30;9,9;-20,1;
2025-08-25 05:55:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-25 06:00:00.0;-20,2;1;0;-30;9,9;-20,1;
2025-08-25 06:05:00.0;-19,7;1;0;-31,7;11,9;-19,8;
2025-08-25 06:10:00.0;-19,2;1;0;-34,5;15,4;-19,1;
